ComEd Basic Electric Service Residential Purchased Energy Charge (PEC),ComEd Basic Electric Service Demand Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Non-Residential Electric Space Heating Purchased Energy Charge (PEC),Ameren Illinois Residential Residential BGS 1,Ameren Illinois Small Commercial Small Commercial BGS 2 - Primary,Ameren Illinois Small Commercial Small Commercial BGS 2 - Secondary,Ameren Illinois Small Commercial Small Commercial BGS 2 - High Voltage,DATE
0.14614195153197912,0.14657338322412586,0.14581575081113085,0.14202019339325647,0.14476111658044827,0.19772040148305872,0.20194979414485836,0.19541615441347684,2045-05-01 01:00:00
0.13643479093648894,0.153133982843628,0.15206546449608052,0.1416446027487603,0.14012883981851726,0.1996715055125407,0.20432824224948817,0.1971394473328177,2045-06-01 01:00:00
0.13643479093648894,0.153133982843628,0.15206546449608052,0.1416446027487603,0.14012883981851726,0.1996715055125407,0.20432824224948817,0.1971394473328177,2045-07-01 01:00:00
0.13643479093648894,0.153133982843628,0.15206546449608052,0.1416446027487603,0.14012883981851726,0.1996715055125407,0.20432824224948817,0.1971394473328177,2045-08-01 01:00:00
0.13643479093648894,0.153133982843628,0.15206546449608052,0.1416446027487603,0.14012883981851726,0.1996715055125407,0.20432824224948817,0.1971394473328177,2045-09-01 01:00:00
0.15174977968672917,0.15202531343233922,0.15123950019313778,0.14730276356735858,0.14705619233044498,0.20040170207900002,0.20468844983910767,0.19806620694905352,2045-10-01 01:00:00
0.15174977968672917,0.15202531343233922,0.15123950019313778,0.14730276356735858,0.14705619233044498,0.20040170207900002,0.20468844983910767,0.19806620694905352,2045-11-01 01:00:00
0.15174977968672917,0.15202531343233922,0.15123950019313778,0.14730276356735858,0.14705619233044498,0.20040170207900002,0.20468844983910767,0.19806620694905352,2045-12-01 01:00:00
0.15174977968672917,0.15202531343233922,0.15123950019313778,0.14730276356735858,0.14705619233044498,0.20040170207900002,0.20468844983910767,0.19806620694905352,2046-01-01 01:00:00
0.15174977968672917,0.15202531343233922,0.15123950019313778,0.14730276356735858,0.14705619233044498,0.20040170207900002,0.20468844983910767,0.19806620694905352,2046-02-01 01:00:00
0.15174977968672917,0.15202531343233922,0.15123950019313778,0.14730276356735858,0.14705619233044498,0.20040170207900002,0.20468844983910767,0.19806620694905352,2046-03-01 01:00:00
0.15174977968672917,0.15202531343233922,0.15123950019313778,0.14730276356735858,0.14705619233044498,0.20040170207900002,0.20468844983910767,0.19806620694905352,2046-04-01 01:00:00
0.15174977968672917,0.15202531343233922,0.15123950019313778,0.14730276356735858,0.14705619233044498,0.20040170207900002,0.20468844983910767,0.19806620694905352,2046-05-01 01:00:00
0.13984566070990118,0.15696233241471869,0.1558671011084825,0.1451857178174793,0.1436320608139802,0.20466329315035423,0.20943644830572536,0.20206793351613817,2046-06-01 01:00:00
0.13984566070990118,0.15696233241471869,0.1558671011084825,0.1451857178174793,0.1436320608139802,0.20466329315035423,0.20943644830572536,0.20206793351613817,2046-07-01 01:00:00
0.13984566070990118,0.15696233241471869,0.1558671011084825,0.1451857178174793,0.1436320608139802,0.20466329315035423,0.20943644830572536,0.20206793351613817,2046-08-01 01:00:00
0.13984566070990118,0.15696233241471869,0.1558671011084825,0.1451857178174793,0.1436320608139802,0.20466329315035423,0.20943644830572536,0.20206793351613817,2046-09-01 01:00:00
0.15554352417889736,0.15582594626814772,0.1550204876979662,0.1509853326565425,0.1507325971387061,0.205411744630975,0.20980566108508533,0.2030178621227798,2046-10-01 01:00:00
0.15554352417889736,0.15582594626814772,0.1550204876979662,0.1509853326565425,0.1507325971387061,0.205411744630975,0.20980566108508533,0.2030178621227798,2046-11-01 01:00:00
0.15554352417889736,0.15582594626814772,0.1550204876979662,0.1509853326565425,0.1507325971387061,0.205411744630975,0.20980566108508533,0.2030178621227798,2046-12-01 01:00:00
0.15554352417889736,0.15582594626814772,0.1550204876979662,0.1509853326565425,0.1507325971387061,0.205411744630975,0.20980566108508533,0.2030178621227798,2047-01-01 01:00:00
0.15554352417889736,0.15582594626814772,0.1550204876979662,0.1509853326565425,0.1507325971387061,0.205411744630975,0.20980566108508533,0.2030178621227798,2047-02-01 01:00:00
0.15554352417889736,0.15582594626814772,0.1550204876979662,0.1509853326565425,0.1507325971387061,0.205411744630975,0.20980566108508533,0.2030178621227798,2047-03-01 01:00:00
0.15554352417889736,0.15582594626814772,0.1550204876979662,0.1509853326565425,0.1507325971387061,0.205411744630975,0.20980566108508533,0.2030178621227798,2047-04-01 01:00:00
0.15554352417889736,0.15582594626814772,0.1550204876979662,0.1509853326565425,0.1507325971387061,0.205411744630975,0.20980566108508533,0.2030178621227798,2047-05-01 01:00:00
0.14334180222764867,0.16088639072508665,0.1597637786361946,0.14881536076291627,0.14722286233432968,0.20977987547911306,0.21467235951336847,0.20711963185404159,2047-06-01 01:00:00
0.14334180222764867,0.16088639072508665,0.1597637786361946,0.14881536076291627,0.14722286233432968,0.20977987547911306,0.21467235951336847,0.20711963185404159,2047-07-01 01:00:00
0.14334180222764867,0.16088639072508665,0.1597637786361946,0.14881536076291627,0.14722286233432968,0.20977987547911306,0.21467235951336847,0.20711963185404159,2047-08-01 01:00:00
0.14334180222764867,0.16088639072508665,0.1597637786361946,0.14881536076291627,0.14722286233432968,0.20977987547911306,0.21467235951336847,0.20711963185404159,2047-09-01 01:00:00
