ComEd Basic Electric Service Residential PJM Services Charge (PSC),ComEd Basic Electric Service Demand Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Non-Residential Electric Space Heating PJM Services Charge (PSC),Ameren Illinois Residential Residential Rider TS - DS1,Ameren Illinois Small Commercial Small Commercial Rider TS - DS2,DATE
0.016723977336433504,0.01668956586043261,0.01668956586043261,0.01668956586043261,0.019940338459740144,0.020042465673362365,2028-03-01 01:00:00
0.016723977336433504,0.01668956586043261,0.01668956586043261,0.01668956586043261,0.019940338459740144,0.020042465673362365,2028-04-01 01:00:00
0.016723977336433504,0.01668956586043261,0.01668956586043261,0.01668956586043261,0.019940338459740144,0.020042465673362365,2028-05-01 01:00:00
0.01724741396518184,0.017223787370708992,0.017223787370708992,0.017223787370708992,0.025812653243018284,0.025940312260046075,2028-06-01 01:00:00
0.01724741396518184,0.017223787370708992,0.017223787370708992,0.017223787370708992,0.025812653243018284,0.025940312260046075,2028-07-01 01:00:00
0.01724741396518184,0.017223787370708992,0.017223787370708992,0.017223787370708992,0.025812653243018284,0.025940312260046075,2028-08-01 01:00:00
0.017223787370708992,0.017188347478999715,0.017188347478999715,0.017188347478999715,0.025812653243018284,0.025940312260046075,2028-09-01 01:00:00
0.017223787370708992,0.017188347478999715,0.017188347478999715,0.017188347478999715,0.025812653243018284,0.025940312260046075,2028-10-01 01:00:00
0.017223787370708992,0.017188347478999715,0.017188347478999715,0.017188347478999715,0.025812653243018284,0.025940312260046075,2028-11-01 01:00:00
0.017223787370708992,0.017188347478999715,0.017188347478999715,0.017188347478999715,0.025812653243018284,0.025940312260046075,2028-12-01 01:00:00
0.017161248399607917,0.017125937188909136,0.017125937188909136,0.017125937188909136,0.020742085314265333,0.02084831878578525,2029-01-01 01:00:00
0.017161248399607917,0.017125937188909136,0.017125937188909136,0.017125937188909136,0.020742085314265333,0.02084831878578525,2029-02-01 01:00:00
0.017161248399607917,0.017125937188909136,0.017125937188909136,0.017125937188909136,0.020742085314265333,0.02084831878578525,2029-03-01 01:00:00
0.017161248399607917,0.017125937188909136,0.017125937188909136,0.017125937188909136,0.020742085314265333,0.02084831878578525,2029-04-01 01:00:00
0.017161248399607917,0.017125937188909136,0.017125937188909136,0.017125937188909136,0.020742085314265333,0.02084831878578525,2029-05-01 01:00:00
0.017698370988732354,0.017674126644912178,0.017674126644912178,0.017674126644912178,0.026850509926661006,0.026983301766060917,2029-06-01 01:00:00
0.017698370988732354,0.017674126644912178,0.017674126644912178,0.017674126644912178,0.026850509926661006,0.026983301766060917,2029-07-01 01:00:00
0.017698370988732354,0.017674126644912178,0.017674126644912178,0.017674126644912178,0.026850509926661006,0.026983301766060917,2029-08-01 01:00:00
0.017674126644912178,0.017637760129181904,0.017637760129181904,0.017637760129181904,0.026850509926661006,0.026983301766060917,2029-09-01 01:00:00
0.017674126644912178,0.017637760129181904,0.017637760129181904,0.017637760129181904,0.026850509926661006,0.026983301766060917,2029-10-01 01:00:00
0.017674126644912178,0.017637760129181904,0.017637760129181904,0.017637760129181904,0.026850509926661006,0.026983301766060917,2029-11-01 01:00:00
0.017674126644912178,0.017637760129181904,0.017637760129181904,0.017637760129181904,0.026850509926661006,0.026983301766060917,2029-12-01 01:00:00
0.017607452870493808,0.017571223543599787,0.017571223543599787,0.017571223543599787,0.02176452228888589,0.021875992313412824,2030-01-01 01:00:00
0.017607452870493808,0.017571223543599787,0.017571223543599787,0.017571223543599787,0.02176452228888589,0.021875992313412824,2030-02-01 01:00:00
0.017607452870493808,0.017571223543599787,0.017571223543599787,0.017571223543599787,0.02176452228888589,0.021875992313412824,2030-03-01 01:00:00
0.017607452870493808,0.017571223543599787,0.017571223543599787,0.017571223543599787,0.02176452228888589,0.021875992313412824,2030-04-01 01:00:00
0.017607452870493808,0.017571223543599787,0.017571223543599787,0.017571223543599787,0.02176452228888589,0.021875992313412824,2030-05-01 01:00:00
0.01815854102290947,0.01813366630917946,0.01813366630917946,0.01813366630917946,0.028174048699185182,0.028313386229843866,2030-06-01 01:00:00
0.01815854102290947,0.01813366630917946,0.01813366630917946,0.01813366630917946,0.028174048699185182,0.028313386229843866,2030-07-01 01:00:00
0.01815854102290947,0.01813366630917946,0.01813366630917946,0.01813366630917946,0.028174048699185182,0.028313386229843866,2030-08-01 01:00:00
0.01813366630917946,0.01809635423858444,0.01809635423858444,0.01809635423858444,0.028174048699185182,0.028313386229843866,2030-09-01 01:00:00
0.01813366630917946,0.01809635423858444,0.01809635423858444,0.01809635423858444,0.028174048699185182,0.028313386229843866,2030-10-01 01:00:00
0.01813366630917946,0.01809635423858444,0.01809635423858444,0.01809635423858444,0.028174048699185182,0.028313386229843866,2030-11-01 01:00:00
0.01813366630917946,0.01809635423858444,0.01809635423858444,0.01809635423858444,0.028174048699185182,0.028313386229843866,2030-12-01 01:00:00
